userId,gender,age_group,occupation
1,Female,Under 18,Scientist
2,Male,56+,Lawyer
3,Male,25-34,Homemaker
4,Male,45-49,Executive/Managerial
5,Male,25-34,Unemployed
6,Female,50-55,Sales/Marketing
7,Male,35-44,Academic/Educator
8,Male,25-34,Retired
9,Male,25-34,Programmer
10,Female,35-44,Academic/Educator
11,Female,25-34,Academic/Educator
12,Male,25-34,Retired
13,Male,45-49,Academic/Educator
14,Male,35-44,Other
15,Male,25-34,Executive/Managerial
16,Female,35-44,Other
17,Male,50-55,Academic/Educator
18,Female,18-24,Clerical/Admin
19,Male,Under 18,Scientist
20,Male,25-34,College/Grad Student
21,Male,18-24,Lawyer
22,Male,18-24,Homemaker
23,Male,35-44,Other
24,Female,25-34,Executive/Managerial
25,Male,18-24,College/Grad Student
26,Male,25-34,Executive/Managerial
27,Male,25-34,Programmer
28,Female,25-34,Academic/Educator
29,Male,35-44,Executive/Managerial
30,Female,35-44,Executive/Managerial
31,Male,56+,Executive/Managerial
32,Female,25-34,Other
33,Male,45-49,Clerical/Admin
34,Female,18-24,Other
35,Male,45-49,Academic/Educator
36,Male,25-34,Clerical/Admin
37,Female,25-34,Sales/Marketing
38,Female,18-24,College/Grad Student
39,Male,18-24,College/Grad Student
40,Male,45-49,Other
41,Female,18-24,College/Grad Student
42,Male,25-34,Retired
43,Male,25-34,Retired
44,Male,45-49,Programmer
45,Female,45-49,Lawyer
46,Male,18-24,Tradesman/Craftsman
47,Male,18-24,College/Grad Student
48,Male,25-34,College/Grad Student
49,Male,18-24,Retired
50,Female,25-34,Artist
51,Female,Under 18,Scientist
52,Male,18-24,College/Grad Student
53,Male,25-34,Other
54,Male,50-55,Academic/Educator
55,Female,35-44,Retired
56,Male,35-44,Unemployed
57,Male,18-24,Tradesman/Craftsman
58,Male,25-34,Artist
59,Female,50-55,Academic/Educator
60,Male,50-55,Academic/Educator
61,Male,25-34,Programmer
62,Female,35-44,Clerical/Admin
63,Male,18-24,College/Grad Student
64,Male,18-24,Academic/Educator
65,Male,35-44,Retired
66,Male,25-34,Technician/Engineer
67,Female,50-55,Customer Service
68,Male,18-24,College/Grad Student
69,Female,25-34,Academic/Educator
70,Male,18-24,College/Grad Student
71,Male,25-34,College/Grad Student
72,Female,45-49,Other
73,Male,18-24,College/Grad Student
74,Male,35-44,College/Grad Student
75,Female,Under 18,Scientist
76,Male,35-44,Executive/Managerial
77,Male,18-24,College/Grad Student
78,Female,45-49,Academic/Educator
79,Female,45-49,Other
80,Male,56+,Academic/Educator
81,Female,25-34,Other
82,Male,25-34,Programmer
83,Female,25-34,Artist
84,Male,18-24,College/Grad Student
85,Male,18-24,College/Grad Student
86,Female,Under 18,Scientist
87,Male,25-34,College/Grad Student
88,Female,45-49,Academic/Educator
89,Female,56+,Sales/Marketing
90,Male,56+,Sales/Marketing
91,Male,35-44,Executive/Managerial
92,Female,18-24,College/Grad Student
93,Male,25-34,Programmer
94,Male,25-34,Programmer
95,Male,45-49,Other
96,Female,25-34,Lawyer
97,Female,35-44,Clerical/Admin
98,Female,35-44,Executive/Managerial
99,Female,Under 18,Scientist
100,Male,35-44,Programmer
101,Female,18-24,Clerical/Admin
102,Male,35-44,Tradesman/Craftsman
103,Male,45-49,Executive/Managerial
104,Male,25-34,Retired
105,Male,45-49,Retired
106,Female,35-44,Programmer
107,Male,45-49,Technician/Engineer
108,Male,25-34,Retired
109,Male,45-49,Homemaker
110,Male,25-34,Artist
111,Male,35-44,Homemaker
112,Male,25-34,Lawyer
113,Male,18-24,Retired
114,Female,25-34,Artist
115,Male,25-34,Programmer
116,Male,25-34,Programmer
117,Male,25-34,Programmer
118,Male,35-44,Programmer
119,Female,Under 18,Scientist
120,Male,25-34,Programmer
121,Male,35-44,Executive/Managerial
122,Female,18-24,College/Grad Student
123,Male,35-44,Sales/Marketing
124,Male,56+,Executive/Managerial
125,Male,45-49,College/Grad Student
126,Male,18-24,Sales/Marketing
127,Female,45-49,Clerical/Admin
128,Male,56+,Doctor/Health Care
129,Male,25-34,Programmer
130,Male,35-44,Programmer
131,Male,18-24,College/Grad Student
132,Male,25-34,Programmer
133,Female,25-34,Other
134,Male,25-34,Other
135,Male,18-24,College/Grad Student
136,Male,18-24,Artist
137,Female,45-49,Doctor/Health Care
138,Male,18-24,Unemployed
139,Female,25-34,Unemployed
140,Female,35-44,Academic/Educator
141,Male,35-44,Sales/Marketing
142,Male,25-34,Executive/Managerial
143,Male,18-24,Clerical/Admin
144,Male,25-34,Programmer
145,Male,18-24,College/Grad Student
146,Female,35-44,Unemployed
147,Male,18-24,College/Grad Student
148,Male,50-55,Programmer
149,Male,25-34,Academic/Educator
150,Male,35-44,Executive/Managerial
151,Female,25-34,Unemployed
152,Male,18-24,College/Grad Student
153,Male,Under 18,Scientist
154,Male,50-55,Unemployed
155,Male,35-44,Retired
156,Female,45-49,Executive/Managerial
157,Male,35-44,Lawyer
158,Male,56+,Executive/Managerial
159,Female,45-49,Other
160,Male,35-44,Executive/Managerial
161,Male,45-49,Lawyer
162,Female,18-24,College/Grad Student
163,Male,18-24,College/Grad Student
164,Female,56+,Sales/Marketing
165,Male,18-24,Lawyer
166,Male,18-24,College/Grad Student
167,Female,25-34,Programmer
168,Female,50-55,Other
169,Male,25-34,Executive/Managerial
170,Male,25-34,Programmer
171,Female,50-55,Programmer
172,Male,25-34,Clerical/Admin
173,Male,25-34,Other
174,Male,25-34,Lawyer
175,Female,25-34,Artist
176,Female,18-24,Clerical/Admin
177,Male,50-55,Academic/Educator
178,Male,56+,Programmer
179,Male,25-34,Other
180,Male,45-49,Retired
181,Male,18-24,Programmer
182,Male,18-24,College/Grad Student
183,Female,45-49,Academic/Educator
184,Female,25-34,Other
185,Male,45-49,Other
186,Male,18-24,Customer Service
187,Female,45-49,Academic/Educator
188,Male,56+,Lawyer
189,Male,18-24,Other
190,Male,25-34,Programmer
191,Male,18-24,College/Grad Student
192,Male,18-24,Academic/Educator
193,Female,45-49,Homemaker
194,Female,Under 18,Scientist
195,Male,25-34,Retired
196,Female,35-44,Sales/Marketing
197,Male,18-24,College/Grad Student
198,Male,25-34,Retired
199,Male,18-24,College/Grad Student
200,Female,18-24,College/Grad Student
201,Female,35-44,Artist
202,Male,18-24,College/Grad Student
203,Female,18-24,College/Grad Student
204,Male,25-34,Executive/Managerial
205,Male,35-44,Retired
206,Male,25-34,Programmer
207,Male,25-34,Retired
208,Male,35-44,Programmer
209,Male,35-44,Academic/Educator
210,Female,Under 18,Scientist
211,Male,45-49,Programmer
212,Male,25-34,Lawyer
213,Female,18-24,College/Grad Student
214,Male,18-24,Unemployed
215,Male,35-44,College/Grad Student
216,Male,45-49,Sales/Marketing
217,Male,18-24,College/Grad Student
218,Male,35-44,College/Grad Student
219,Female,25-34,College/Grad Student
220,Male,25-34,Retired
221,Female,25-34,Other
222,Male,25-34,Academic/Educator
223,Male,25-34,Programmer
224,Female,18-24,College/Grad Student
225,Male,25-34,Executive/Managerial
226,Male,35-44,Academic/Educator
227,Male,35-44,Unemployed
228,Male,25-34,Homemaker
229,Male,18-24,Scientist
230,Male,45-49,Academic/Educator
231,Male,25-34,Clerical/Admin
232,Male,25-34,Unemployed
233,Female,45-49,Unemployed
234,Male,35-44,Executive/Managerial
235,Male,25-34,Other
236,Male,25-34,Customer Service
237,Male,25-34,Doctor/Health Care
238,Female,50-55,Executive/Managerial
239,Male,18-24,Tradesman/Craftsman
240,Male,50-55,Programmer
241,Male,35-44,Unemployed
242,Female,18-24,College/Grad Student
243,Male,25-34,Lawyer
244,Male,50-55,Executive/Managerial
245,Male,35-44,Lawyer
246,Female,18-24,College/Grad Student
247,Male,25-34,Programmer
248,Male,18-24,Programmer
249,Female,18-24,College/Grad Student
250,Male,35-44,Lawyer
251,Male,56+,Programmer
252,Male,25-34,Retired
253,Female,25-34,Programmer
254,Male,35-44,Programmer
255,Male,35-44,Other
256,Male,45-49,Lawyer
257,Male,18-24,Technician/Engineer
258,Male,25-34,Executive/Managerial
259,Male,25-34,Academic/Educator
260,Male,18-24,Tradesman/Craftsman
261,Male,25-34,Unemployed
262,Female,25-34,Academic/Educator
263,Female,25-34,Executive/Managerial
264,Male,35-44,Other
265,Female,35-44,Executive/Managerial
266,Male,35-44,Programmer
267,Male,45-49,Retired
268,Female,18-24,Retired
269,Male,25-34,Artist
270,Male,50-55,College/Grad Student
271,Male,18-24,College/Grad Student
272,Male,18-24,Other
273,Male,18-24,College/Grad Student
274,Male,18-24,College/Grad Student
275,Male,25-34,Other
276,Male,45-49,Lawyer
277,Female,35-44,Academic/Educator
278,Male,45-49,Technician/Engineer
279,Male,25-34,College/Grad Student
280,Male,50-55,Executive/Managerial
281,Female,35-44,Other
282,Male,25-34,Programmer
283,Male,25-34,Other
284,Male,25-34,Retired
285,Female,35-44,Other
286,Male,25-34,Academic/Educator
287,Male,50-55,Sales/Marketing
288,Female,25-34,Retired
289,Female,25-34,Other
290,Female,25-34,Unemployed
291,Male,35-44,Retired
292,Male,35-44,Executive/Managerial
293,Male,56+,Academic/Educator
294,Female,45-49,Sales/Marketing
295,Male,18-24,Other
296,Male,50-55,Customer Service
297,Male,18-24,Artist
298,Female,18-24,College/Grad Student
299,Male,25-34,Retired
300,Male,25-34,Executive/Managerial
301,Male,18-24,College/Grad Student
302,Male,18-24,College/Grad Student
303,Male,25-34,Executive/Managerial
