tmdbId,title,genres,roi,popularity,norm_popularity
862,Toy Story,Family|Comedy|Animation|Adventure,12.37,21.4463,0.2975495446498438
8844,Jumanji,Adventure|Fantasy|Family,3.04,3.3118,0.04594846579462903
15602,Grumpier Old Men,Romance|Comedy,1.86,1.1551,0.016026050135689352
31357,Waiting to Exhale,Comedy|Drama|Romance,4.09,1.495,0.02074187945013902
11862,Father of the Bride Part II,Comedy|Family,0.0,1.6249,0.022544133724769825
949,Heat,Crime|Drama|Action,2.12,12.476,0.17309410569895278
11860,Sabrina,Romance|Drama|Comedy,-0.07,7.0761,0.0981749920917249
45325,Tom and Huck,Family|Action|Adventure|Drama,0.0,0.8561,0.011877674245661546
9091,Sudden Death,Action|Drama|Thriller|Crime,0.84,1.6535,0.02294093489685944
710,GoldenEye,Adventure|Action|Thriller,4.87,6.7698,0.09392533478364623
9087,The American President,Drama|Romance,0.74,2.5976,0.03603953582587365
12110,Dracula: Dead and Loving It,Comedy|Horror,-0.64,2.3033,0.03195636852007037
21032,Balto,Family|Animation|Adventure,-0.63,2.2417,0.0311017198417235
10858,Nixon,Drama|History,-0.69,3.9411,0.05467947899728621
1408,Cutthroat Island,Action|Adventure,-0.84,2.1756,0.03018463741252338
524,Casino,Crime|Drama,1.32,7.892,0.10949492482976397
4584,Sense and Sensibility,Drama|Romance,7.41,6.403,0.08883629038076263
5,Four Rooms,Comedy,0.06,2.5347,0.035166850730613625
9273,Ace Ventura: When Nature Calls,Crime|Comedy|Adventure,6.08,2.9385,0.0407692393071796
11517,Money Train,Action|Comedy|Crime,0.14,1.6687,0.023151822233074902
8012,Get Shorty,Comedy|Thriller|Crime,2.81,2.6223,0.03638222774722378
1710,Copycat,Thriller|Crime|Mystery,0.6,2.8168,0.03908075320077029
9691,Assassins,Action|Adventure|Crime|Thriller,-0.39,2.7924,0.03874222352947706
12665,Powder,Drama|Fantasy,2.25,3.7812,0.052460999716966994
451,Leaving Las Vegas,Drama|Romance,12.83,2.4878,0.03451615230505408
16420,Othello,Drama,-0.75,0.756,0.010488870143347892
9263,Now and Then,Comedy|Drama|Romance,1.28,1.664,0.023086613648850385
902,The City of Lost Children,Fantasy|Science Fiction|Adventure,-0.9,1.7335,0.024050868245361866
37557,Shanghai Triad,Drama|Crime,-1.0,0.9226,0.012800306341604185
9909,Dangerous Minds,Drama,6.81,2.8401,0.03940402128852162
63,Twelve Monkeys,Science Fiction|Thriller|Mystery,4.82,8.5281,0.11832028236704385
78802,Wings of Courage,Romance|Adventure,0.0,0.2998,0.004159475223512828
9598,Babe,Fantasy|Drama|Comedy|Family,7.47,6.186,0.08582559617294981
47018,Carrington,History|Drama|Romance,0.0,0.5891,0.008173271695034711
687,Dead Man Walking,Drama,2.58,1.5164,0.021038786620863417
33689,It Takes Two,Comedy|Family|Romance,0.34,1.5608,0.02165479962928226
9603,Clueless,Comedy|Romance,3.72,7.527,0.10443085392722166
34615,"Cry, the Beloved Country",Drama,0.0,0.5379,0.007462914351993163
31174,Richard III,Drama|War,0.0,0.9066,0.0125783196719037
11443,Dead Presidents,Crime|Drama|Action,1.41,1.6621,0.023060252731823452
35196,Restoration,Drama|Romance,-0.79,1.6991,0.023573596905505825
9312,Mortal Kombat,Action|Fantasy,5.79,3.2463,0.04503970786554268
577,To Die For,Drama|Comedy|Crime,0.07,1.6128,0.022376256305808834
11861,How to Make an American Quilt,Drama|Romance,3.12,1.1234,0.015586239046345266
807,Se7en,Crime|Mystery|Thriller,8.92,19.8633,0.27558673851635207
10530,Pocahontas,Adventure|Animation|Family|Romance,5.29,4.6109,0.06397239595762275
8391,When Night Is Falling,Drama|Romance,0.0,0.7213,0.010007436553434966
629,The Usual Suspects,Drama|Crime|Thriller,2.88,10.8379,0.15036683297168005
117164,Guardian Angel,Action|Thriller|Drama,0.0,0.4489,0.006228113501784218
11448,Mighty Aphrodite,Comedy|Romance,0.73,1.2881,0.01787131432757463
26441,The Big Green,Family|Comedy,0.0,1.2411,0.017219228485329457
97406,Georgia,Drama,0.0,0.5919,0.008212119362232297
124057,Kids of the Round Table,Family|Fantasy|Comedy|Adventure,0.0,0.2751,0.0038167833021627053
9089,Home for the Holidays,Comedy|Drama|Romance,0.11,1.1915,0.016531069809257955
11010,The Postman,Comedy|Drama|Romance,10.0,1.7294,0.023993984161251116
99040,The Confessional,Thriller|Drama|Mystery,0.0,0.3131,0.004344001642701356
11359,The Indian in the Cupboard,Adventure|Family|Fantasy,-0.21,1.555,0.021574329461515832
17182,Eye for an Eye,Thriller|Drama,0.34,2.125,0.029482604569595595
2054,Mr. Holland's Opus,Drama|Music,2.43,1.2562,0.017428728404859286
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,4.29,5.2879,0.07336520691932448
19760,Two If by Sea,Comedy|Romance,0.0,0.5273,0.007315848183316592
9536,Bio-Dome,Comedy,0.58,2.5141,0.03488104289337425
11525,Lawnmower Man 2: Beyond Cyberspace,Science Fiction|Horror|Action|Thriller,-0.84,0.8502,0.011795816661209492
40628,Two Bits,Drama|Family,0.0,0.6299,0.008739337702770949
4482,French Twist,Comedy|Romance,0.0,0.637,0.008837844287450538
10634,Friday,Comedy|Drama,7.06,7.4105,0.10281451348846501
755,From Dusk Till Dawn,Horror|Action|Thriller|Crime,0.36,7.7743,0.10786193539077978
11859,Fair Game,Action,-0.77,1.0035,0.01392272644027726
28387,Kicking and Screaming,Comedy|Drama|Romance,0.0,0.5999,0.00832311269708254
48750,Les Miserables,Drama|History,0.0,0.4937,0.006849676176945574
20927,Bed of Roses,Drama|Romance,0.0,0.9888,0.01371877618748994
36929,Big Bully,Comedy,-0.86,2.8373,0.03936517362132404
9102,Screamers,Horror|Science Fiction|War,-0.71,1.0057,0.013953249607361077
124626,Nico Icon,Documentary,0.0,0.2213,0.003070353125294826
27526,The Crossing Guard,Drama|Thriller,0.0,0.7883,0.010937005732805745
9623,The Juror,Thriller|Crime|Drama,-0.48,1.8621,0.02583508610307951
46785,The White Balloon,Drama|Family,0.0,0.5375,0.00745736468525065
400,Things to Do in Denver When You're Dead,Drama|Crime,-0.93,1.5965,0.022150107386051467
880,Antonia's Line,Drama|Comedy,-1.0,0.7748,0.010749704480245962
10534,White Squall,Drama|Adventure,-0.73,1.5491,0.02149247187706378
17414,Dunston Checks In,Family|Comedy|Adventure,-1.0,1.8408,0.025539566349040737
13997,Black Sheep,Comedy,-0.01,1.374,0.019063105260529106
2086,Nick of Time,Thriller|Crime|Action,-0.75,1.4075,0.019527889850214492
9095,Mary Reilly,Drama|Horror|Thriller,-0.74,1.0155,0.014089216442552625
12158,Vampire in Brooklyn,Comedy|Horror|Romance|Fantasy,0.41,0.8644,0.011992829830568673
9283,Beautiful Girls,Comedy|Drama|Romance,0.69,3.7591,0.0521543806294432
9208,Broken Arrow,Action|Thriller,2.01,3.108,0.04312091058931911
40154,In the Bleak Midwinter,Comedy,0.0,0.3644,0.005055746402428534
406,La Haine,Drama,4.88,4.7653,0.06611456732023241
45549,Shopping,Crime|Drama|Action,0.0,2.3346,0.03239062994267194
11062,City Hall,Drama|Thriller,-0.16,1.5519,0.021531319544261365
13685,Bottle Rocket,Comedy|Crime|Drama,-0.85,1.9853,0.02754438345977324
47475,Mr. Wrong,Comedy|Romance,0.0,0.6258,0.0086824536186602
2045,Unforgettable,Thriller|Mystery|Science Fiction,-1.0,1.0339,0.014344501112708182
9614,Happy Gilmore,Comedy,2.45,5.5537,0.07705296046972379
688,The Bridges of Madison County,Drama|Romance,6.58,3.4801,0.048283488076541
10874,Muppet Treasure Island,Family|Comedy|Adventure,0.11,4.1317,0.05732389520009323
197,Braveheart,Action|Drama|History|War,1.96,8.8767,0.12315681693314315
103,Taxi Driver,Crime|Drama,14.04,13.6161,0.1889120433317979
33542,Rumble in the Bronx,Crime|Action|Comedy|Thriller,9.14,3.3449,0.04640770071757191
43566,Before and After,Crime|Drama|Mystery,-0.75,1.7167,0.023817782242176355
43612,Happiness Is in the Field,Comedy,-1.0,0.8702,0.0120732999983351
16934,The Young Poisoner's Handbook,Comedy|Crime|Drama,0.0,0.23,0.0031910583769444644
10324,If Lucy Fell,Comedy|Romance,-0.52,0.5844,0.008108063110810197
78406,Steal Big Steal Little,Comedy|Drama,-0.75,0.3346,0.004642296230111382
55731,Race the Sun,Adventure|Comedy|Drama,0.0,0.6399,0.00887807937133375
32119,The Boys of St. Vincent,Drama|Crime,0.0,0.5099,0.007074437680017314
11066,Boomerang,Comedy|Romance,2.28,2.0839,0.028912376311802473
11104,Chungking Express,Drama|Comedy|Romance,-1.0,5.4103,0.0750634049425332
37975,The Star Maker,Drama|Romance,0.0,0.4334,0.006013063915511874
2074,Flirting with Disaster,Comedy,1.1,0.8363,0.011602965741907199
27793,The NeverEnding Story III,Family|Fantasy|Adventure|Comedy,-1.0,1.3591,0.018856380174370527
44284,The Silences of the Palace,Drama,0.0,0.201,0.0027887075381123365
32622,Angela,Drama,0.0,2.0229,0.028066052133569375
